INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
1,0,0,0,60,0,11,67349,No,0,z_No,M,PhD,Professional,14,Private,14230,11,Minivan,yes,4461,2,No,3,18,Highly Urban/ Urban
2,0,0,0,43,0,11,91449,No,257252,z_No,M,z_High School,z_Blue Collar,22,Commercial,14940,1,Minivan,yes,0,0,No,0,1,Highly Urban/ Urban
4,0,0,0,35,1,10,16039,No,124191,Yes,z_F,z_High School,Clerical,5,Private,4010,4,z_SUV,no,38690,2,No,3,10,Highly Urban/ Urban
5,0,0,0,51,0,14,,No,306251,Yes,M,<High School,z_Blue Collar,32,Private,15440,7,Minivan,yes,0,0,No,0,6,Highly Urban/ Urban
6,0,0,0,50,0,,114986,No,243925,Yes,z_F,PhD,Doctor,36,Private,18000,1,z_SUV,no,19217,2,Yes,3,17,Highly Urban/ Urban
7,1,2946,0,34,1,12,125301,Yes,0,z_No,z_F,Bachelors,z_Blue Collar,46,Commercial,17430,1,Sports Car,no,0,0,No,0,7,Highly Urban/ Urban
8,0,0,0,54,0,,18755,No,,Yes,z_F,<High School,z_Blue Collar,33,Private,8780,1,z_SUV,no,0,0,No,0,1,Highly Urban/ Urban
11,1,4021,1,37,2,,107961,No,333680,Yes,M,Bachelors,z_Blue Collar,44,Commercial,16970,1,Van,yes,2374,1,Yes,10,7,Highly Urban/ Urban
12,1,2501,0,34,0,10,62978,No,0,z_No,z_F,Bachelors,Clerical,34,Private,11200,1,z_SUV,no,0,0,No,0,1,Highly Urban/ Urban
13,0,0,0,50,0,7,106952,No,0,z_No,M,Bachelors,Professional,48,Commercial,18510,7,Van,no,0,0,No,1,17,z_Highly Rural/ Rural
14,1,6077,0,53,0,14,77100,No,0,z_No,z_F,Masters,Lawyer,15,Private,18300,1,Sports Car,no,0,0,No,0,11,Highly Urban/ Urban
15,0,0,0,43,0,5,52642,No,209970,Yes,z_F,Masters,Professional,36,Private,22420,7,Minivan,no,0,0,No,0,1,z_Highly Rural/ Rural
16,0,0,0,55,0,11,59162,No,180232,Yes,M,Bachelors,Manager,25,Commercial,17600,7,Van,yes,5028,2,Yes,3,9,Highly Urban/ Urban
17,1,1267,0,53,0,11,130795,No,0,z_No,M,PhD,,64,Commercial,28340,6,Panel Truck,yes,0,0,No,3,10,Highly Urban/ Urban
19,1,2920.16732,0,45,0,0,0,No,106859,Yes,z_F,<High School,Home Maker,48,Private,6000,1,z_SUV,no,0,0,No,3,5,Highly Urban/ Urban
20,0,0,0,39,3,12,51884,Yes,180951,z_No,z_F,Bachelors,Clerical,43,Private,10590,6,z_SUV,no,0,0,No,0,13,z_Highly Rural/ Rural
22,0,0,0,42,0,11,59945,No,192207,Yes,M,Masters,Lawyer,42,Private,14190,6,Minivan,no,0,0,No,0,16,Highly Urban/ Urban
23,0,0,0,34,3,13,34019,No,91875,Yes,z_F,Masters,Lawyer,27,Private,8300,7,z_SUV,no,0,0,No,0,20,Highly Urban/ Urban
24,0,0,0,31,2,12,18903,No,93797,Yes,z_F,<High School,Clerical,48,Private,17330,4,Minivan,no,0,0,No,0,7,Highly Urban/ Urban
25,1,6857,0,28,1,13,44077,No,170598,Yes,z_F,z_High School,z_Blue Collar,29,Commercial,8710,6,z_SUV,no,8935,2,No,0,1,Highly Urban/ Urban
26,1,3627,0,43,0,13,37214,No,,Yes,M,<High School,z_Blue Collar,52,Commercial,26560,1,Panel Truck,yes,0,0,No,3,1,Highly Urban/ Urban
27,0,0,0,48,0,14,96274,No,282904,Yes,z_F,Masters,Lawyer,36,Private,11130,6,z_SUV,no,8250,1,No,5,14,Highly Urban/ Urban
28,0,0,0,47,0,11,46281,No,0,z_No,z_F,<High School,z_Blue Collar,29,Private,19700,10,Minivan,no,0,0,No,1,5,Highly Urban/ Urban
29,0,0,2,44,2,0,0,No,82344,Yes,z_F,z_High School,Home Maker,8,Private,5900,6,z_SUV,no,3338,3,No,0,11,Highly Urban/ Urban
32,0,0,0,33,1,13,79606,No,225962,Yes,z_F,Bachelors,Professional,27,Private,16830,9,z_SUV,no,0,0,No,2,15,z_Highly Rural/ Rural
33,1,4486,0,32,1,9,31275,No,118160,Yes,z_F,z_High School,Clerical,26,Private,10030,1,z_SUV,no,0,0,No,0,1,Highly Urban/ Urban
34,0,0,1,44,2,17,45488,No,219378,Yes,M,Bachelors,Manager,16,Private,22090,17,Minivan,no,0,0,No,0,12,Highly Urban/ Urban
35,0,0,0,35,0,8,72193,No,0,z_No,z_F,Bachelors,Clerical,26,Private,12220,6,z_SUV,no,0,0,No,3,12,Highly Urban/ Urban
36,0,0,0,40,2,0,,No,98777,Yes,z_F,Masters,Home Maker,15,Private,14130,6,z_SUV,no,38127,2,Yes,4,12,z_Highly Rural/ Rural
38,0,0,0,49,0,5,49244,No,163444,Yes,M,Bachelors,Clerical,30,Private,15880,1,Minivan,no,0,0,No,1,1,Highly Urban/ Urban
40,0,0,0,52,0,8,51278,No,230340,Yes,z_F,Bachelors,Professional,37,Private,1500,4,z_SUV,no,0,0,No,1,10,Highly Urban/ Urban
41,0,0,0,41,0,7,92842,No,286113,z_No,M,Masters,,12,Commercial,25810,6,Panel Truck,no,1431,2,No,5,15,Highly Urban/ Urban
