,Marketing,Communications,Sales,Software,Design,Data,Product
Marketer,90,80,40,2,20,30,35
Business Developer,60,70,80,6,23,33,37
Head of BizDev,70,90,80,6,20,33,37
Social Media Manager,80,90,40,7,30,20,10
Growth Manager,96,90,85,30,25,40,30
CMO,90,90,40,12,30,50,30
Communications Specialist,80,99,50,12,35,20,23
Growth Hacker,89,93,82,25,30,41,30
Web Developer,12,14,3,99,40,67,50
Software Engineer,2,4,5,99,30,76,40
QA Engineer,4,12,8,80,20,80,50
iOS Developer,16,18,7,103,40,71,54
Software Architect,7,9,10,104,30,81,45
Product Designer,60,75,30,50,99,70,99
Graphic Designer,88,80,20,20,99,30,60
UX Designer,15,17,12,60,98,80,90
UX/UI Specialist,8,10,5,53,91,73,83
User Experience Researcher,11,13,8,56,94,90,86
Product Manager,53,76,30,40,99,60,99
Project Manager,20,40,14,1,1,1,1
HR Coordinator,23,40,15,1,1,1,1
Legal Counsel,24,30,16,1,1,1,1
