customerID,gender,PhoneSubscriber,MoreThenOneLine,InternetServiceSubscriber,OnlineSecuritySubscriber,OnlineBackupSubscriber,DeviceProtectionSubscriber,TechSupportSubscriber,StreamingTVSubscriber,StreamingMoviesSubscriber,ContractLength,UsesPaperlessBilling,MethodOfPayment,MonthsACustomer,Senior,HasPartner,HasDependents,MonthlyPayments,TotalPayments
3812-LRZIR,Female,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,27,0,Yes,Yes,24.5,761.95
2725-IWWBA,Male,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Mailed check,46,0,Yes,Yes,56.9,2560.1
7460-ITWWP,Female,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45,1,Yes,No,86.1,3861.45
6922-NCEDI,Male,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,56,0,No,Yes,21.2,1238.65
6743-HHQPF,Male,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),42,0,Yes,No,25.1,1097.15
6715-OFDBP,Male,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,5,0,No,No,70.05,346.4
6119-SPUDB,Male,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,46,0,No,No,38.25,1755.35
0674-DGMAQ,Male,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,32,1,Yes,No,93.5,2970.8
9978-HYCIN,Male,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),47,1,Yes,Yes,84.95,4018.05
4729-XKASR,Male,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,1,0,No,Yes,24.75,24.75
1187-WILMM,Male,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),63,0,Yes,Yes,89.4,5597.65
7253-UVNDW,Female,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),46,0,No,No,54.35,2460.15
5448-VWNAM,Female,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,19,0,No,Yes,75.9,1375.6
8085-MSNLK,Female,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,62,0,Yes,No,113.95,6891.4
5445-PZWGX,Male,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Electronic check,62,0,No,No,102,6529.25
4568-KNYWR,Male,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),52,0,No,No,63.25,3342.45
0570-BFQHT,Female,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,9,0,No,No,80.55,653.9
4092-OFQZS,Male,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20,0,Yes,No,20.65,417.5
7096-UCLNH,Male,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,1,0,No,No,20.05,20.05
8189-DUKMV,Female,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),4,0,Yes,No,20.5,79.05
6457-GIRWB,Male,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,0,No,No,69.35,69.35
3657-COGMW,Female,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),52,1,No,No,108.1,5839.3
6633-SYEUS,Female,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),23,0,No,No,83.2,2032.3
2270-CHBFN,Female,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),44,0,Yes,No,95.1,4060.55
9755-JHNMN,Female,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),49,0,No,No,67.4,3306.85
4020-KIUDI,Male,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),6,0,Yes,Yes,19.85,138.85
9518-IMLHK,Male,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),31,0,No,No,72.45,2156.25
7529-ZDFXI,Male,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,57,1,Yes,No,89.85,4925.35
9894-QMIMJ,Female,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),23,0,No,No,55.8,1327.85
4903-CNOZC,Male,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),29,0,No,No,70.9,1964.6
5628-RKIFK,Female,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),49,1,No,No,101.55,5070.4
6469-QJKZW,Female,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,4,0,Yes,No,20.15,91.4
1447-PJGGA,Female,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,57,0,No,No,95.25,5464.65
9220-CXRSC,Female,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Two year,No,Credit card (automatic),69,0,Yes,Yes,61.4,4059.85
7779-LGOVN,Male,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,10,1,Yes,No,86.65,856.65
0260-ZDLGK,Female,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,9,0,No,Yes,72.9,651.4
4298-OYIFC,Male,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,15,0,Yes,No,103.45,1539.8
4817-VYYWS,Female,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,30,0,No,No,100.2,2983.8
5550-VFRLC,Female,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,1,No,No,69.85,69.85
0366-NQSHS,Male,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,2,0,No,No,19.35,46.35
1849-RJYIG,Female,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,8,0,No,No,60,487.75
8807-ARQET,Female,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,41,0,No,No,40.35,1677.85
2516-XSJKX,Female,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,41,0,Yes,Yes,78.45,3126.45
3511-APPBJ,Male,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),23,0,No,No,99.95,2292.75
7639-LIAYI,Male,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),52,0,No,No,79.75,4217.8
