total_credit_card_limit,avg_percentage_credit_card_limit_used_last_year,saving_amount,checking_amount,is_employed,yearly_salary,age,dependent_number,loan_purpose,loan_repaid
10400,1.09,3673,4420,1,46600,37,7,1,Yes
4800,1.09,699,461,1,50700,29,2,1,Yes
2600,1.09,602,1384,1,35300,26,4,3,No
2400,1.09,273,3040,0,0,31,8,3,No
4500,1.09,1221,2642,0,0,41,3,5,No
3700,1.09,502,2566,1,13100,23,8,1,No
3800,1.09,1931,2357,1,17200,45,8,3,No
5800,1.09,244,4003,0,0,39,3,3,No
1000,1.09,1145,826,1,21200,30,8,3,Yes
3400,1.09,728,5651,1,12800,25,2,1,Yes
8800,1.09,5361,4014,1,44800,35,1,1,Yes
6600,1.09,1738,454,0,0,45,8,5,Yes
2300,1.09,1882,7291,1,43500,65,2,4,Yes
5200,1.09,1145,2673,1,25100,33,2,4,No
1500,1.09,629,1108,1,5500,54,5,4,No
3100,1.09,326,2056,0,0,38,3,4,No
3500,1.09,1701,2110,0,0,29,8,1,No
4700,1.09,1329,2201,1,42500,30,8,1,No
3100,1.09,757,190,0,0,40,8,5,No
4500,1.09,1422,3558,1,39500,32,1,5,Yes
3100,1.09,3788,11210,1,40300,36,8,3,Yes
5200,1.09,1857,6096,1,21500,41,1,4,Yes
3500,1.09,887,290,0,0,43,3,2,No
3600,1.09,730,265,0,0,49,1,4,No
1800,1.09,936,1518,0,0,39,1,3,No
2200,1.08,672,1857,1,31800,22,4,4,No
5900,1.08,1864,1811,1,28500,22,2,2,No
4500,1.08,993,1795,0,0,46,1,2,No
3000,1.08,882,4457,1,35300,29,1,2,Yes
3300,1.08,1575,3324,1,25900,65,1,2,No
5300,1.08,498,1174,1,26100,55,1,3,No
5500,1.08,354,1249,0,0,36,8,4,No
5600,1.08,3838,4946,1,26800,48,2,4,Yes
2100,1.08,906,1874,0,0,20,2,3,No
4800,1.08,839,2472,0,0,50,1,5,No
5900,1.08,3630,3030,1,38900,34,3,4,Yes
6400,1.08,121,3122,1,11200,49,5,4,No
3200,1.08,1415,2234,0,0,22,1,1,No
5800,1.08,668,1625,1,18800,32,4,1,No
5400,1.08,861,2849,0,0,21,8,3,No
1400,1.08,635,1200,1,28900,28,6,3,No
2600,1.08,1128,2332,1,20300,31,2,3,No
5100,1.08,5331,6561,1,59100,20,8,3,Yes
4500,1.08,1054,2582,1,24500,46,1,2,No
5600,1.08,2383,540,1,44100,42,3,4,Yes
7200,1.08,927,743,1,47900,39,4,1,No
7600,1.08,1469,6775,1,55200,35,2,3,Yes
2200,1.08,1127,1205,0,0,47,8,5,No
4900,1.08,881,3549,0,0,43,1,1,No
4500,1.07,6567,1851,1,16700,53,8,4,Yes
4900,1.07,2667,9654,1,28100,72,2,1,Yes
6600,1.07,4170,4730,1,35400,34,0,5,Yes
6200,1.07,2620,5604,1,17100,57,4,2,Yes
4200,1.07,924,4599,0,0,39,2,5,No
5000,1.07,1341,2300,0,0,57,4,5,No
7800,1.07,620,929,0,0,41,5,1,No
4200,1.07,68,1853,0,0,40,4,3,No
3500,1.07,980,2327,0,0,30,2,3,No
3700,1.07,1507,132,1,15500,21,1,5,No
2200,1.07,1203,2496,0,0,69,8,2,No
3800,1.07,875,913,0,0,23,1,4,No
3300,1.07,1148,1406,1,42300,39,5,2,No
2500,1.07,554,1647,1,28000,37,6,3,No
5100,1.07,3515,8201,1,19900,44,1,3,Yes
1700,1.07,453,1689,1,35000,31,3,2,No
7800,1.07,1197,1139,1,41900,34,7,4,Yes
2300,1.07,2788,2424,1,18000,30,2,1,Yes
5700,1.07,1255,4776,1,29700,58,2,4,No
6200,1.07,3315,3621,0,0,31,1,2,Yes
4400,1.07,1157,4132,0,0,53,3,1,No
3500,1.07,1294,2084,1,16000,20,4,3,No
4900,1.07,1541,1614,1,27600,27,3,2,No
4300,1.07,1538,1523,1,32100,27,6,5,No
4500,1.07,1406,1943,1,38800,54,6,1,No
5100,1.07,4167,1868,1,10000,39,3,4,Yes
3300,1.07,695,795,1,25500,20,2,5,Yes
